original_city,canonical_city,changed
Sevilla,Sevilla,False
Aldeanueva del Camino,Aldeanueva del Camino,False
Roses,Roses,False
"Tudela, Navarra","Tudela, Navarra",False
Santander,Santander,False
Frigiliana,Frigiliana,False
Mallabia,Mallabia,False
Santo Domingo de la Calzada,Santo Domingo de la Calzada,False
"Torreguadiaro, Cádiz",Cádiz,True
Madrid,Madrid,False
Cacabelos,Cacabelos,False
"Estepona, Málaga,",Estepona,True
"Belchite, Zaragoza",Zaragoza,True
Pedrouzo,Pedrouzo,False
Jaén,Jaén,False
Blanes ,Blanes ,False
Mazagón,Mazagón,False
L'Escala,"L'Escala, Girona",True
Corralejo,Corralejo,False
Málaga,Málaga,False
Calafell,Calafell,False
"Sepúlveda, Segovia",Segovia,True
Guadalajara,Guadalajara,False
CASTELLON DE PLANA,CASTELLON DE PLANA,False
"Isla Cristina, Huelva","Isla Cristina, Huelva",False
San pedro de alcantara,San pedro de alcantara,False
Murcia,MURCIA,True
Zamora,Zamora,False
Oviedo,Oviedo,False
"Villanúa, Huesca","Villanúa, Huesca",False
Puerto de la Cruz,Puerto de la Cruz,False
Santiago de Compostela,Santiago de Compostela,False
Castellbisbal ,Castellbisbal ,False
Alicante,Alicante,False
"Marbella, Málaga",Málaga,True
Segovia,Segovia,False
Arcos de la Frontera,Jerez de la Frontera,True
O Pino,O Pino,False
Arnedo,Arnedo,False
Tarragona,Tarragona,False
Castro-Urdiales,Castro-Urdiales,False
Soutomaior,Soutomaior,False
Manzanares,Manzanares,False
Lugo,Lugo,False
"Almagro, Ciudad Real",Almagro,True
Capileira,Capileira,False
Archidona,Archidona,False
"Vicolozano, Ávila","Vicolozano, Ávila",False
Cariño,Cariño,False
Siejo,Siejo,False
Cabo de Palos,Cabo de Palos,False
Pontevedra,Pontevedra,False
Valladolid,Valladolid,False
Jerez de la Frontera,Jerez de la Frontera,False
Tarifa,Tarifa,False
Barcelona,Barcelona,False
"Santiago de Compostela, A Coruña",A Coruña,True
Pamplona,Pamplona,False
Sant Fost de Campsentelles,Sant Fost de Campsentelles,False
Alcalà ,Alcalà ,False
Manises,Manises,False
Moscari,Moscari,False
Zaragoza,Zaragoza,False
Santa Eulalia del Río,Santa Eulalia del Río,False
Vejer de la Frontera,Vejer de la frontera,True
"Tarifa, Cádiz",Cádiz,True
Marbella,"Marbella, Málaga",True
"Sarria, Lugo","Sarria, Lugo",False
Caldas de Reis,Caldas de Reis,False
La Savina,La Savina,False
El Burgo de Osma,Burgos,True
Leon,León,True
Logroño,Logroño,False
"Alcalá de Henares, Madrid",Madrid,True
"Espinavell, Girona,","Espinavell, Girona,",False
Alhama de Aragón,Alhama de Aragón,False
Algeciras,Algeciras,False
Sant Andreu De Llavaneres,Sant Andreu De Llavaneres,False
Guadix,Guadix,False
Estella-Lizarra,Estella,True
Villagonzalo Pedernales,Villagonzalo Pedernales,False
Cabrils,Cabrils,False
TARIFA,Tarifa,True
"Vic, Barcelona,","Vic, Barcelona,",False
Mojácar,Mojácar,False
Úbeda,Úbeda,False
"Polop, Alicante",Alicante,True
O Pedrouzo,Pedrouzo,True
Toledo,Toledo,False
"Cabo de Palos, Murcia",MURCIA,True
Bilbao,Bilbao,False
Cuenca,Cuenca,False
Badalona,Badalona,False
"Anglès, Girona",Girona,True
